Id,Label,timeset,description,url,cluster,weight<links>,weight<total_link_strength>,weight<citations>,weight<norm._citations>,score<pub._year>,score<citations>,score<norm._citations>,grain for green,beijing-tianjin sandstorm source control,stimulated
25,nilsson (1995),,"<table><tr><td>Authors:</td><td>nilsson, s; schopfhauser, w</td></tr><tr><td>Title:</td><td>the carbon-sequestration potential of a global afforestation program</td></tr><tr><td>Source:</td><td>climatic change, 30(3), 267-293</td></tr><tr><td>Year:</td><td>1995</td></tr></table>",http://dx.doi.org/10.1007/bf01091928,1,147,263,105,3.8778,1995,105,3.8778,,,
27,harmon (1995),,"<table><tr><td>Authors:</td><td>harmon, me; koerper, gj; lee, jj; turner, dp</td></tr><tr><td>Title:</td><td>carbon sequestration by forests of the united-states - current status and projections to the year 2040</td></tr><tr><td>Source:</td><td>tellus series b-chemical and physical meteorology, 47(1-2), 232-239</td></tr><tr><td>Year:</td><td>1995</td></tr></table>",http://dx.doi.org/10.1034/j.1600-0889.47.issue1.19.x,1,105,160,33,1.2188,1995,33,1.2188,,,
29,hall (1994),,"<table><tr><td>Authors:</td><td>hall, do; house, ji</td></tr><tr><td>Title:</td><td>biomass energy and the global carbon balance</td></tr><tr><td>Source:</td><td>renewable energy, 5(1-4), 58-66</td></tr><tr><td>Year:</td><td>1994</td></tr></table>",http://dx.doi.org/10.1016/0960-1481(94)90354-9,1,43,59,8,0.0677,1994,8,0.0677,,,
30,braswell (1994),,"<table><tr><td>Authors:</td><td>braswell, bh; holland, ea; mckeown, r; ojima, ds; painter, th; parton, wj; schimel, ds; townsend, ar</td></tr><tr><td>Title:</td><td>climatic, edaphic, and biotic controls over storage and turnover of carbon in soils</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 8(3), 279-293</td></tr><tr><td>Year:</td><td>1994</td></tr></table>",http://dx.doi.org/10.1029/94gb00993,3,163,226,584,4.9422,1994,584,4.9422,,,
31,andrasko (1994),,"<table><tr><td>Authors:</td><td>andrasko, kj; dixon, rk; lee, jj; schroeder, pe; winjum, jk</td></tr><tr><td>Title:</td><td>integrated land-use systems - assessment of promising agroforest and alternative land-use practices to enhance carbon conservation and sequestration</td></tr><tr><td>Source:</td><td>climatic change, 27(1), 71-92</td></tr><tr><td>Year:</td><td>1994</td></tr></table>",http://dx.doi.org/10.1007/bf01098474,1,147,236,48,0.4062,1994,48,0.4062,,,
32,gupta (1994),,"<table><tr><td>Authors:</td><td>gupta, rk; rao, dln</td></tr><tr><td>Title:</td><td>potential of wastelands for sequestering carbon by reforestation</td></tr><tr><td>Source:</td><td>current science, 66(5), 378-380</td></tr><tr><td>Year:</td><td>1994</td></tr></table>",,1,40,42,60,0.5078,1994,60,0.5078,,,
34,cramer (1993),,"<table><tr><td>Authors:</td><td>cramer, wp; leemans, r; prentice, ic; solomon, am</td></tr><tr><td>Title:</td><td>the interaction of climate and land-use in future terrestrial carbon storage and release</td></tr><tr><td>Source:</td><td>water air and soil pollution, 70(1-4), 595-614</td></tr><tr><td>Year:</td><td>1993</td></tr></table>",http://dx.doi.org/10.1007/bf01105024,1,70,91,37,1.3003,1993,37,1.3003,,,
35,dixon (1993),,"<table><tr><td>Authors:</td><td>dixon, rk; schroeder, pe; winjum, jk</td></tr><tr><td>Title:</td><td>forest management and carbon storage - an analysis of 12 key forest nations</td></tr><tr><td>Source:</td><td>water air and soil pollution, 70(1-4), 239-257</td></tr><tr><td>Year:</td><td>1993</td></tr></table>",http://dx.doi.org/10.1007/bf01105000,1,69,114,42,1.476,1993,42,1.476,,,
37,dirks (1993),,"<table><tr><td>Authors:</td><td>dirks, bom; glenn, ep; ojima, ds; owensby, ce; scurlock, jo</td></tr><tr><td>Title:</td><td>assessment of c budget for grasslands and drylands of the world</td></tr><tr><td>Source:</td><td>water air and soil pollution, 70(1-4), 95-109</td></tr><tr><td>Year:</td><td>1993</td></tr></table>",http://dx.doi.org/10.1007/bf01104990,3,48,52,63,2.2141,1993,63,2.2141,,,
38,harger (1993),,"<table><tr><td>Authors:</td><td>harger, jre</td></tr><tr><td>Title:</td><td>potential limits of human dominated fossil energy-based global ecosystems</td></tr><tr><td>Source:</td><td>chemosphere, 27(6), 907-945</td></tr><tr><td>Year:</td><td>1993</td></tr></table>",http://dx.doi.org/10.1016/0045-6535(93)90062-a,1,48,56,2,0.0703,1993,2,0.0703,,,
40,houghton (1993),,"<table><tr><td>Authors:</td><td>houghton, ra; lefebvre, pa; unruh, jd</td></tr><tr><td>Title:</td><td>current land-cover in the tropics and its potential for sequestering carbon</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 7(2), 305-320</td></tr><tr><td>Year:</td><td>1993</td></tr></table>",http://dx.doi.org/10.1029/93gb00470,1,48,58,47,1.6518,1993,47,1.6518,,,
41,kurz (1993),,"<table><tr><td>Authors:</td><td>kurz, kd; maierreimer, e</td></tr><tr><td>Title:</td><td>iron fertilization of the austral ocean - the hamburg model assessment</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 7(1), 229-244</td></tr><tr><td>Year:</td><td>1993</td></tr></table>",http://dx.doi.org/10.1029/92gb02910,4,76,128,36,1.2652,1993,36,1.2652,,,
42,grubler (1993),,"<table><tr><td>Authors:</td><td>grubler, a; inaba, a; messner, s; nakicenovic, n; nilsson, s; nishimura, y; rogner, hh; schafer, a; schrattenholzer, l; strubegger, m; swisher, j; victor, d; wilson, d</td></tr><tr><td>Title:</td><td>long-term strategies for mitigating global warming</td></tr><tr><td>Source:</td><td>energy, 18(5), 401</td></tr><tr><td>Year:</td><td>1993</td></tr></table>",http://dx.doi.org/10.1016/0360-5442(93)90019-a,1,114,163,29,1.0192,1993,29,1.0192,,,
43,bekkering (1992),,"<table><tr><td>Authors:</td><td>bekkering, td</td></tr><tr><td>Title:</td><td>using tropical forests to fix atmospheric carbon - the potential in theory and practice</td></tr><tr><td>Source:</td><td>ambio, 21(6), 414-419</td></tr><tr><td>Year:</td><td>1992</td></tr></table>",,1,13,15,15,0.8468,1992,15,0.8468,,,
44,arthur (1992),,"<table><tr><td>Authors:</td><td>arthur, lm; vankooten, gc; wilson, wr</td></tr><tr><td>Title:</td><td>potential to sequester carbon in canadian forests - some economic-considerations</td></tr><tr><td>Source:</td><td>canadian public policy-analyse de politiques, 18(2), 127-138</td></tr><tr><td>Year:</td><td>1992</td></tr></table>",http://dx.doi.org/10.2307/3551419,1,14,17,23,1.2984,1992,23,1.2984,,,
46,dixon (1992),,"<table><tr><td>Authors:</td><td>dixon, rk; schroeder, pe; winjum, jk</td></tr><tr><td>Title:</td><td>estimating the global potential of forest and agroforest management-practices to sequester carbon</td></tr><tr><td>Source:</td><td>water air and soil pollution, 64(1-2), 213-227</td></tr><tr><td>Year:</td><td>1992</td></tr></table>",http://dx.doi.org/10.1007/bf00477103,1,35,64,79,4.4597,1992,79,4.4597,,,
48,capone (1991),,"<table><tr><td>Authors:</td><td>capone, dg; fuhrman, ja</td></tr><tr><td>Title:</td><td>possible biogeochemical consequences of ocean fertilization</td></tr><tr><td>Source:</td><td>limnology and oceanography, 36(8), 1951-1959</td></tr><tr><td>Year:</td><td>1991</td></tr></table>",,4,80,150,59,2.7007,1991,59,2.7007,,,
49,broecker (1991),,"<table><tr><td>Authors:</td><td>broecker, ws; peng, th</td></tr><tr><td>Title:</td><td>factors limiting the reduction of atmospheric co2 by iron fertilization</td></tr><tr><td>Source:</td><td>limnology and oceanography, 36(8), 1919-1927</td></tr><tr><td>Year:</td><td>1991</td></tr></table>",http://dx.doi.org/10.4319/lo.1991.36.8.1919,4,99,169,27,1.2359,1991,27,1.2359,,,
51,ladd (1991),,"<table><tr><td>Authors:</td><td>ladd, l; schroeder, p</td></tr><tr><td>Title:</td><td>slowing the increase of atmospheric carbon-dioxide - a biological approach</td></tr><tr><td>Source:</td><td>climatic change, 19(3), 283-290</td></tr><tr><td>Year:</td><td>1991</td></tr></table>",http://dx.doi.org/10.1007/bf00140167,1,37,51,21,0.9613,1991,21,0.9613,,,
52,goreau (1991),,"<table><tr><td>Authors:</td><td>goreau, tj; myers, n</td></tr><tr><td>Title:</td><td>tropical forests and the greenhouse-effect - a management response</td></tr><tr><td>Source:</td><td>climatic change, 19(1-2), 215-225</td></tr><tr><td>Year:</td><td>1991</td></tr></table>",http://dx.doi.org/10.1007/bf00142229,1,34,54,8,0.3662,1991,8,0.3662,,,
53,joos (1991),,"<table><tr><td>Authors:</td><td>joos, f; sarmiento, jl; siegenthaler, u</td></tr><tr><td>Title:</td><td>estimates of the effect of southern-ocean iron fertilization on atmospheric co2 concentrations</td></tr><tr><td>Source:</td><td>nature, 349(6312), 772-775</td></tr><tr><td>Year:</td><td>1991</td></tr></table>",http://dx.doi.org/10.1038/349772a0,4,103,172,79,3.6162,1991,79,3.6162,,,
55,broecker (1991),,"<table><tr><td>Authors:</td><td>broecker, ws; peng, th</td></tr><tr><td>Title:</td><td>dynamic limitations on the antarctic iron fertilization strategy</td></tr><tr><td>Source:</td><td>nature, 349(6306), 227-229</td></tr><tr><td>Year:</td><td>1991</td></tr></table>",http://dx.doi.org/10.1038/349227a0,4,52,72,68,3.1127,1991,68,3.1127,,,
61,adams (2017),,"<table><tr><td>Authors:</td><td>adams, j; blackman, a; campari, j; conant, rt; delgado, c; elias, p; ellis, pw; fargione, j; gopalakrishna, t; griscom, bw; hamsik, mr; herrero, m; houghton, ra; kiesecker, j; laestadius, l; landis, e; leavitt, sm; lomax, g; minnemeyer, s; miteva, da; polasky, s; potapov, p; putz, fe; sanderman, j; schlesinger, wh; shoch, d; siikamaki, jv; silvius, m; smith, p; wollenberg, e; woodbury, p; zganjar, c</td></tr><tr><td>Title:</td><td>natural climate solutions</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america, 114(44), 11645-11650</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1073/pnas.1710465114,2,195,259,3,2.5574,2017,3,2.5574,,,
63,henderson (2017),,"<table><tr><td>Authors:</td><td>henderson, g; renforth, p</td></tr><tr><td>Title:</td><td>assessing ocean alkalinity for carbon sequestration</td></tr><tr><td>Source:</td><td>reviews of geophysics, 55(3), 636-674</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1002/2016rg000533,2,232,582,1,0.8525,2017,1,0.8525,,,
69,ahlgren (2017),,"<table><tr><td>Authors:</td><td>ahlgren, s; ericsson, n; hansson, pa; nordberg, a; sundberg, c</td></tr><tr><td>Title:</td><td>time-dependent climate impact and energy efficiency of combined heat and power production from short-rotation coppice willow using pyrolysis or direct combustion</td></tr><tr><td>Source:</td><td>global change biology bioenergy, 9(5), 876-890</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1111/gcbb.12415,6,124,223,1,0.8525,2017,1,0.8525,,,
72,hartmann (2017),,"<table><tr><td>Authors:</td><td>hartmann, j; knops, p; leermakers, m; meysman, fjr; montserrat, f; renforth, p</td></tr><tr><td>Title:</td><td>olivine dissolution in seawater: implications for co2 sequestration through enhanced weathering in coastal environments</td></tr><tr><td>Source:</td><td>environmental science & technology, 51(7), 3960-3972</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1021/acs.est.605942,2,63,142,1,0.8525,2017,1,0.8525,,,
73,brilman (2017),,"<table><tr><td>Authors:</td><td>brilman, dwf; delgado, jdlp; qian, y; veneman, r</td></tr><tr><td>Title:</td><td>stability of a benzyl amine based co2 capture adsorbent in view of regeneration strategies</td></tr><tr><td>Source:</td><td>industrial & engineering chemistry research, 56(12), 3259-3269</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1021/acs.iecr.6b04645,5,108,419,2,1.7049,2017,2,1.7049,,,
74,chuang (2017),,"<table><tr><td>Authors:</td><td>chuang, ssc; zhai, yx</td></tr><tr><td>Title:</td><td>the nature of adsorbed carbon dioxide on immobilized amines during carbon dioxide capture from air and simulated flue gas</td></tr><tr><td>Source:</td><td>energy technology, 5(3), 510-519</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1002/ente.201600685,5,78,231,5,4.2623,2017,5,4.2623,,,
75,carter (2017),,"<table><tr><td>Authors:</td><td>carter, ea; senftle, tp</td></tr><tr><td>Title:</td><td>the holy grail: chemistry enabling an economically viable co2 capture, utilization, and storage strategy</td></tr><tr><td>Source:</td><td>accounts of chemical research, 50(3), 472-475</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1021/acs.accounts.6b00479,2,175,276,3,2.5574,2017,3,2.5574,,,
77,jones (2017),,"<table><tr><td>Authors:</td><td>jones, cw; lee, lc; liyely, rp; pang, sh; sakwa-novak, ma</td></tr><tr><td>Title:</td><td>design of aminopolymer structure to enhance performance and stability of co2 sorbents: poly(propylenimine) vs poly(ethylenimine)</td></tr><tr><td>Source:</td><td>journal of the american chemical society, 139(10), 3627-3630</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1021/jacs.7b00235,5,90,400,4,3.4098,2017,4,3.4098,,,
78,guo (2017),,"<table><tr><td>Authors:</td><td>guo, fs; wang, yy; zhang, k</td></tr><tr><td>Title:</td><td>two {dy-2} single-molecule magnets formed via an in situ reaction by capturing co2 from atmosphere under ambient conditions</td></tr><tr><td>Source:</td><td>dalton transactions, 46(6), 1753-1756</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1039/c6dt04751c,5,82,98,1,0.8525,2017,1,0.8525,,,
79,dai (2017),,"<table><tr><td>Authors:</td><td>dai, s; huang, k; jones, cw; liu, fj; okonkwo, c; tao, dj; yoo, cj</td></tr><tr><td>Title:</td><td>facilely synthesized meso-macroporous polymer as support of poly (ethyleneimine) for highly efficient and selective capture of co2</td></tr><tr><td>Source:</td><td>chemical engineering journal, 314, 466-476</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.cej.2016.12.004,5,111,414,7,5.9672,2017,7,5.9672,,,
86,hao (2017),,"<table><tr><td>Authors:</td><td>hao, y; liang, s; liu, gy; pang, my; wang, cb; wang, yf; xu, m; zhang, lx</td></tr><tr><td>Title:</td><td>trade-off between carbon reduction benefits and ecological costs of biomass-based power plants with carbon capture and storage (ccs) in china</td></tr><tr><td>Source:</td><td>journal of cleaner production, 144, 279-286</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.jclepro.2017.01.034,2,23,25,2,1.7049,2017,2,1.7049,,,
89,darunte (2017),,"<table><tr><td>Authors:</td><td>darunte, la; jones, cw; kawajiri, y; realff, mj; sinha, a</td></tr><tr><td>Title:</td><td>systems design and economic analysis of direct air capture of co2 through temperature vacuum swing adsorption using mil-101(cr)-pei-800 and mmen-mg-2(dobpdc) mof adsorbents</td></tr><tr><td>Source:</td><td>industrial & engineering chemistry research, 56(3), 750-764</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1021/acs.iecr.6b03887,5,180,724,3,2.5574,2017,3,2.5574,,,
90,barthes (2017),,"<table><tr><td>Authors:</td><td>barthes, bg; beral, c; cambou, a; cardinael, r; chenu, c; chevallier, t; dupraz, c; durand, c; kouakoua, e</td></tr><tr><td>Title:</td><td>increased soil organic carbon stocks under agroforestry: a survey of six different sites in france</td></tr><tr><td>Source:</td><td>agriculture ecosystems & environment, 236, 243-255</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.agee.2016.12.011,3,317,629,4,3.4098,2017,4,3.4098,,,
91,angers (2017),,"<table><tr><td>Authors:</td><td>angers, da; du, zl; li, gc; ren, ts; zhang, qz</td></tr><tr><td>Title:</td><td>the effect of no-till on organic c storage in chinese soils should not be overemphasized: a meta-analysis</td></tr><tr><td>Source:</td><td>agriculture ecosystems & environment, 236, 1-11</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.agee.2016.11.007,3,267,611,2,1.7049,2017,2,1.7049,,,
92,hitch (2017),,"<table><tr><td>Authors:</td><td>hitch, m; li, jj</td></tr><tr><td>Title:</td><td>ultra-fine grinding and mechanical activation of mine waste rock using a planetary mill for mineral carbonation</td></tr><tr><td>Source:</td><td>international journal of mineral processing, 158, 18-26</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.minpro.2016.11.016,2,37,56,2,1.7049,2017,2,1.7049,,,
93,harrell (2017),,"<table><tr><td>Authors:</td><td>harrell, s; trac, cj; zhai, d; zinda, ja</td></tr><tr><td>Title:</td><td>dual-function forests in the returning farmland to forest program and the flexibility of environmental policy in china</td></tr><tr><td>Source:</td><td>geoforum, 78, 119-132</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.geoforum.2016.03.012,1,48,74,2,1.7049,2017,2,1.7049,,,
95,bernie (2017),,"<table><tr><td>Authors:</td><td>bernie, d; bosetti, v; drouet, l; fricko, o; gambhir, a; havlik, p; hawkes, a; lowe, j; mccollum, d; napp, t; riahi, k</td></tr><tr><td>Title:</td><td>assessing the feasibility of global long-term mitigation scenarios</td></tr><tr><td>Source:</td><td>energies, 10(1)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.3390/en10010089,2,132,311,2,1.7049,2017,2,1.7049,,,
96,acharya (2017),,"<table><tr><td>Authors:</td><td>acharya, bs; bista, p; ghimire, r; lamichhane, s; sainju, um</td></tr><tr><td>Title:</td><td>tillage, crop residue, and nutrient management effects on soil organic carbon in rice-based cropping systems: a review</td></tr><tr><td>Source:</td><td>journal of integrative agriculture, 16(1), 1-15</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/s2095-3119(16)61337-0,3,246,426,1,0.8525,2017,1,0.8525,,,
98,bhattarai (2017),,"<table><tr><td>Authors:</td><td>bhattarai, md; schoof, j; secchi, s</td></tr><tr><td>Title:</td><td>an analysis of the climate change mitigation potential through soil organic carbon sequestration in a corn belt watershed</td></tr><tr><td>Source:</td><td>environmental management, 59(1), 77-86</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1007/s00267-016-0771-6,3,162,231,1,0.8525,2017,1,0.8525,,,
99,jones (2017),,"<table><tr><td>Authors:</td><td>jones, cw; pang, sh; potter, me</td></tr><tr><td>Title:</td><td>adsorption microcalorimetry of co2 in confined aminopolymers</td></tr><tr><td>Source:</td><td>langmuir, 33(1), 117-124</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1021/acs.langmuir.6b03793,5,103,610,2,1.7049,2017,2,1.7049,,,
100,huisingh (2017),,"<table><tr><td>Authors:</td><td>huisingh, d; zhang, zh</td></tr><tr><td>Title:</td><td>carbon dioxide storage schemes: technology, assessment and deployment</td></tr><tr><td>Source:</td><td>journal of cleaner production, 142, 1055-1064</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.jclepro.2016.06.199,2,31,37,9,7.6721,2017,9,7.6721,,,
101,berchielli (2017),,"<table><tr><td>Authors:</td><td>berchielli, tt; bordonal, rd; de figueiredo, eb; jayasundara, s; la scala, n; reis, ra; wagner-riddle, c</td></tr><tr><td>Title:</td><td>greenhouse gas balance and carbon footprint of beef cattle in three contrasting pasture-management systems in brazil</td></tr><tr><td>Source:</td><td>journal of cleaner production, 142, 420-431</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.jclepro.2016.03.132,3,76,83,4,3.4098,2017,4,3.4098,,,
102,agodzo (2017),,"<table><tr><td>Authors:</td><td>agodzo, s; diwediga, b; le, qb; wala, k</td></tr><tr><td>Title:</td><td>potential storages and drivers of soil organic carbon and total nitrogen across river basin landscape: the case of mo river basin (togo) in west africa</td></tr><tr><td>Source:</td><td>ecological engineering, 99, 298-309</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.ecoleng.2016.11.055,3,147,180,1,0.8525,2017,1,0.8525,,,
103,fujimori (2016),,"<table><tr><td>Authors:</td><td>fujimori, s; hasegawa, t; liu, jy; masui, t; su, xm; takahashi, k; takimi, m</td></tr><tr><td>Title:</td><td>implication of paris agreement in the context of long-term climate mitigation goals</td></tr><tr><td>Source:</td><td>springerplus, 5</td></tr><tr><td>Year:</td><td>2016</td></tr></table>",http://dx.doi.org/10.1186/s40064-016-3235-9,2,55,71,2,0.5642,2016,2,0.5642,,,
104,aracil (2017),,"<table><tr><td>Authors:</td><td>aracil, c; giuntoli, j; haro, p; ollero, p</td></tr><tr><td>Title:</td><td>proving the climate benefit in the production of biofuels from municipal solid waste refuse in europe</td></tr><tr><td>Source:</td><td>journal of cleaner production, 142, 2887-2900</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.jclepro.2016.10.181,2,52,70,3,2.5574,2017,3,2.5574,,,
106,guan (2016),,"<table><tr><td>Authors:</td><td>guan, ds; peart, mr; wang, g; xiao, rb; zhang, qp</td></tr><tr><td>Title:</td><td>change in ecosystem carbon storage of the mangrove forest along the chinese coast between 1990 and 2010</td></tr><tr><td>Source:</td><td>fresenius environmental bulletin, 25(12), 5555-5564</td></tr><tr><td>Year:</td><td>2016</td></tr></table>",,1,153,226,1,0.2821,2016,1,0.2821,,,
108,bajpai (2017),,"<table><tr><td>Authors:</td><td>bajpai, a; chen, kj; curtin, t; kumar, a; lusi, m; madden, dg; perry, jj; sanii, r; scott, hs; zaworotko, mj</td></tr><tr><td>Title:</td><td>flue-gas and direct-air capture of co2 by porous metal-organic materials</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society a-mathematical physical and engineering sciences, 375(2084)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1098/rsta.2016.0025,5,90,303,6,5.1148,2017,6,5.1148,,,
109,boyd (2016),,"<table><tr><td>Authors:</td><td>boyd, pw; bressac, m</td></tr><tr><td>Title:</td><td>developing a test-bed for robust research governance of geoengineering: the contribution of ocean iron biogeochemistry</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society a-mathematical physical and engineering sciences, 374(2081)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>",http://dx.doi.org/10.1098/rsta.2015.0299,4,173,450,3,0.8463,2016,3,0.8463,,,
